video_id,action,start,end,high_level_step_id,high_level_step_label,assignment_method,recipe_id
P05-20240424-085204,open(drawer),12.14,13.6,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,nearest,P05_R02
P05-20240424-085204,take(scale),14.11,14.56,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,nearest,P05_R02
P05-20240424-085204,close(drawer),14.66,15.15,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,nearest,P05_R02
P05-20240424-085204,put(scale),17.04,19.04,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,nearest,P05_R02
P05-20240424-085204,take(bowl),20.47,22.0,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240424-085204,flip(bowl),21.78,22.41,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240424-085204,put(bowl),23.04,24.36,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240424-085204,turn-on(scale),24.36,25.48,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240424-085204,take(oatmeal),28.2,30.03,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240424-085204,open(top),30.31,32.65,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240424-085204,check(oatmeal),30.55,33.42,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240424-085204,pour(oatmeal),33.2,37.71,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240424-085204,shake(oatmeal),37.65,52.88,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240424-085204,put(oatmeal),53.44,54.05,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240424-085204,put(oatmeal),54.45,55.75,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240424-085204,open(fridge),56.19,57.13,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240424-085204,take(milk),57.68,59.23,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240424-085204,close(fridge),59.74,60.22,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240424-085204,turn-on(lid),60.72,61.59,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240424-085204,pour(milk),61.81,68.85,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240424-085204,screw(milk),69.98,71.46000000000001,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240424-085204,open(fridge),71.46000000000001,72.74,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240424-085204,put(bottle),72.61,73.72,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240424-085204,take(glass),74.87,76.65,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240424-085204,turn-on(tap),76.75,78.61,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240424-085204,turn-off(tap),78.63,80.95,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240424-085204,pour(water),81.03,88.8,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240424-085204,reach(scale),87.97,91.02,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240424-085204,put(glass),91.03,92.18,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240424-085204,take(oatmeal),92.09,94.02,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240424-085204,move(cup),93.91,95.17,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240424-085204,move(teapot),95.13,97.26,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240424-085204,open(microwave),97.61,98.32,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240424-085204,move(oatmeal),98.56,99.37,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240424-085204,put(oatmeal),99.11,101.71,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240424-085204,press(watch),101.84,102.57,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240424-085204,press(alarm),102.71,104.97,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240424-085204,take(lid),111.32,111.74,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,nearest,P05_R02
P05-20240424-085204,put(lid),112.14,115.57,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,nearest,P05_R02
P05-20240424-085204,take(spreads),115.87,116.73,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,nearest,P05_R02
P05-20240424-085204,open(cupboard),120.82,121.12,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,nearest,P05_R02
P05-20240424-085204,open(cupboard),121.35,122.59,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,nearest,P05_R02
P05-20240424-085204,put(spreads),122.69,124.99,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,nearest,P05_R02
P05-20240424-085204,close(cupboard),125.09,126.39,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,nearest,P05_R02
P05-20240424-085204,turn-off(scale),128.11,129.11,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,nearest,P05_R02
P05-20240424-085204,take(plate),132.71,134.79,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,nearest,P05_R02
