video_id,participant,deviation_type,severity,detail,action
P05-20240424-085204,P05,omission,critical,Missing from session; present in ≥80% of sessions,take(package)
P05-20240424-085204,P05,omission,moderate,Missing from session; present in ≥50% of sessions,press(button)
P05-20240424-085204,P05,omission,moderate,Missing from session; present in ≥50% of sessions,eat(spoon)
P05-20240424-085204,P05,oscillation,moderate,wash(hand) → put(cloth) → wash(hand) at position 61 (span=5.0s),wash(hand) ↔ put(cloth)
P05-20240424-085204,P05,rare_transition,low,take(bowl) → flip(bowl) seen in only 14% of sessions,take(bowl) → flip(bowl)
P05-20240424-085204,P05,rare_transition,low,flip(bowl) → put(bowl) seen in only 14% of sessions,flip(bowl) → put(bowl)
P05-20240424-085204,P05,rare_transition,low,take(oatmeal) → open(top) seen in only 14% of sessions,take(oatmeal) → open(top)
P05-20240424-085204,P05,rare_transition,low,open(top) → check(oatmeal) seen in only 14% of sessions,open(top) → check(oatmeal)
P05-20240424-085204,P05,rare_transition,low,check(oatmeal) → pour(oatmeal) seen in only 14% of sessions,check(oatmeal) → pour(oatmeal)
P05-20240424-085204,P05,rare_transition,low,pour(oatmeal) → shake(oatmeal) seen in only 14% of sessions,pour(oatmeal) → shake(oatmeal)
P05-20240424-085204,P05,rare_transition,low,shake(oatmeal) → put(oatmeal) seen in only 14% of sessions,shake(oatmeal) → put(oatmeal)
P05-20240424-085204,P05,rare_transition,low,put(oatmeal) → put(oatmeal) seen in only 14% of sessions,put(oatmeal) → put(oatmeal)
P05-20240424-085204,P05,rare_transition,low,take(milk) → close(fridge) seen in only 14% of sessions,take(milk) → close(fridge)
P05-20240424-085204,P05,rare_transition,low,close(fridge) → turn-on(lid) seen in only 14% of sessions,close(fridge) → turn-on(lid)
P05-20240424-085204,P05,rare_transition,low,turn-on(lid) → pour(milk) seen in only 14% of sessions,turn-on(lid) → pour(milk)
P05-20240424-085204,P05,rare_transition,low,pour(milk) → screw(milk) seen in only 14% of sessions,pour(milk) → screw(milk)
P05-20240424-085204,P05,rare_transition,low,screw(milk) → open(fridge) seen in only 14% of sessions,screw(milk) → open(fridge)
P05-20240424-085204,P05,rare_transition,low,open(fridge) → put(bottle) seen in only 14% of sessions,open(fridge) → put(bottle)
P05-20240424-085204,P05,rare_transition,low,put(bottle) → take(glass) seen in only 14% of sessions,put(bottle) → take(glass)
P05-20240424-085204,P05,rare_transition,low,pour(water) → reach(scale) seen in only 14% of sessions,pour(water) → reach(scale)
P05-20240424-085204,P05,rare_transition,low,reach(scale) → put(glass) seen in only 14% of sessions,reach(scale) → put(glass)
P05-20240424-085204,P05,rare_transition,low,take(oatmeal) → move(cup) seen in only 14% of sessions,take(oatmeal) → move(cup)
P05-20240424-085204,P05,rare_transition,low,move(cup) → move(teapot) seen in only 14% of sessions,move(cup) → move(teapot)
P05-20240424-085204,P05,rare_transition,low,move(teapot) → open(microwave) seen in only 14% of sessions,move(teapot) → open(microwave)
P05-20240424-085204,P05,rare_transition,low,put(oatmeal) → press(watch) seen in only 14% of sessions,put(oatmeal) → press(watch)
P05-20240424-085204,P05,rare_transition,low,press(watch) → press(alarm) seen in only 14% of sessions,press(watch) → press(alarm)
P05-20240424-085204,P05,rare_transition,low,press(alarm) → take(lid) seen in only 14% of sessions,press(alarm) → take(lid)
P05-20240424-085204,P05,rare_transition,low,put(lid) → take(spreads) seen in only 14% of sessions,put(lid) → take(spreads)
P05-20240424-085204,P05,rare_transition,low,take(spreads) → open(cupboard) seen in only 14% of sessions,take(spreads) → open(cupboard)
P05-20240424-085204,P05,rare_transition,low,open(cupboard) → open(cupboard) seen in only 14% of sessions,open(cupboard) → open(cupboard)
P05-20240424-085204,P05,rare_transition,low,open(cupboard) → put(spreads) seen in only 14% of sessions,open(cupboard) → put(spreads)
P05-20240424-085204,P05,rare_transition,low,put(spreads) → close(cupboard) seen in only 14% of sessions,put(spreads) → close(cupboard)
P05-20240424-085204,P05,rare_transition,low,close(cupboard) → turn-off(scale) seen in only 14% of sessions,close(cupboard) → turn-off(scale)
P05-20240424-085204,P05,rare_transition,low,turn-off(scale) → take(plate) seen in only 14% of sessions,turn-off(scale) → take(plate)
P05-20240424-085204,P05,rare_transition,low,take(plate) → turn-on(tap) seen in only 14% of sessions,take(plate) → turn-on(tap)
P05-20240424-085204,P05,rare_transition,low,turn-on(tap) → wash(cloth) seen in only 14% of sessions,turn-on(tap) → wash(cloth)
P05-20240424-085204,P05,rare_transition,low,wash(cloth) → turn-off(tap) seen in only 14% of sessions,wash(cloth) → turn-off(tap)
P05-20240424-085204,P05,rare_transition,low,turn-off(tap) → apply(cloth) seen in only 14% of sessions,turn-off(tap) → apply(cloth)
P05-20240424-085204,P05,rare_transition,low,apply(cloth) → take(glass) seen in only 14% of sessions,apply(cloth) → take(glass)
P05-20240424-085204,P05,rare_transition,low,take(glass) → wash(top) seen in only 14% of sessions,take(glass) → wash(top)
P05-20240424-085204,P05,rare_transition,low,wash(top) → slide(top) seen in only 14% of sessions,wash(top) → slide(top)
P05-20240424-085204,P05,rare_transition,low,slide(top) → slide(top) seen in only 14% of sessions,slide(top) → slide(top)
P05-20240424-085204,P05,rare_transition,low,slide(top) → squeeze(cloth) seen in only 14% of sessions,slide(top) → squeeze(cloth)
P05-20240424-085204,P05,rare_transition,low,squeeze(cloth) → put(glass) seen in only 14% of sessions,squeeze(cloth) → put(glass)
P05-20240424-085204,P05,rare_transition,low,put(glass) → hold(hand) seen in only 14% of sessions,put(glass) → hold(hand)
P05-20240424-085204,P05,rare_transition,low,hold(hand) → take(cloth) seen in only 14% of sessions,hold(hand) → take(cloth)
P05-20240424-085204,P05,rare_transition,low,take(cloth) → wash(top) seen in only 14% of sessions,take(cloth) → wash(top)
P05-20240424-085204,P05,rare_transition,low,wash(top) → open(bin) seen in only 14% of sessions,wash(top) → open(bin)
P05-20240424-085204,P05,rare_transition,low,open(bin) → turn-on(tap) seen in only 14% of sessions,open(bin) → turn-on(tap)
P05-20240424-085204,P05,rare_transition,low,wash(hand) → put(cloth) seen in only 14% of sessions,wash(hand) → put(cloth)
P05-20240424-085204,P05,rare_transition,low,put(cloth) → wash(hand) seen in only 14% of sessions,put(cloth) → wash(hand)
P05-20240424-085204,P05,rare_transition,low,turn-off(tap) → take(glass) seen in only 14% of sessions,turn-off(tap) → take(glass)
P05-20240424-085204,P05,rare_transition,low,take(glass) → carry(glass) seen in only 14% of sessions,take(glass) → carry(glass)
P05-20240424-085204,P05,rare_transition,low,carry(glass) → pour(water) seen in only 14% of sessions,carry(glass) → pour(water)
P05-20240424-085204,P05,rare_transition,low,put(glass) → move(glass) seen in only 14% of sessions,put(glass) → move(glass)
P05-20240424-085204,P05,rare_transition,low,move(glass) → take(glass) seen in only 14% of sessions,move(glass) → take(glass)
