recipe_id,recipe_name,participant,video_id,capture_index,action_count,unique_actions,duration_sec,first_action,last_action
P01_R01,Nespresso,P01,P01-20240202-110250,0,224,120,387.3,open(cupboard),take(towel)
P01_R01,Nespresso,P01,P01-20240203-093333,1,68,52,145.2,put(plate),close(bin)
P01_R01,Nespresso,P01,P01-20240204-095114,2,81,50,157.8,open(fridge),put(cup)
P01_R03,Cacio e Pepe,P01,P01-20240202-161354,0,151,86,321.6,turn-on(light),press(button)
P01_R03,Cacio e Pepe,P01,P01-20240202-161948,0,297,111,759.9,put(paper),take(plate)
P01_R04,Sfesiha (Lebanese Meat Pies),P01,P01-20240203-121517,0,238,103,469.7,lift(bag),close(cupboard)
P01_R04,Sfesiha (Lebanese Meat Pies),P01,P01-20240203-123350,0,472,191,1745.6,lift(plate),dry(hand)
P01_R04,Sfesiha (Lebanese Meat Pies),P01,P01-20240203-130505,0,361,141,822.3,put(paper),put(spatula)
P01_R04,Sfesiha (Lebanese Meat Pies),P01,P01-20240203-135502,0,856,294,2512.2,open(food),carry(bowl)
P01_R04,Sfesiha (Lebanese Meat Pies),P01,P01-20240203-150506,0,350,140,701.1,put(bowl),dry(hand)
P01_R04,Sfesiha (Lebanese Meat Pies),P01,P01-20240203-152323,0,63,31,130.6,open(cupboard),close(cupboard)
P01_R05,Lazy Cake Recipe,P01,P01-20240203-132119,0,463,202,1115.0,take(spatula),increase(processor:food)
P01_R05,Lazy Cake Recipe,P01,P01-20240203-135502,0,856,294,2512.2,open(food),carry(bowl)
P01_R05,Lazy Cake Recipe,P01,P01-20240203-161757,0,145,60,233.0,sort(plate),put(scale)
P01_R06,Carrot Soup,P01,P01-20240203-123350,0,472,191,1745.6,lift(plate),dry(hand)
P01_R06,Carrot Soup,P01,P01-20240203-130505,0,361,141,822.3,put(paper),put(spatula)
P01_R06,Carrot Soup,P01,P01-20240203-132119,0,463,202,1115.0,take(spatula),increase(processor:food)
P01_R06,Carrot Soup,P01,P01-20240203-135502,0,856,294,2512.2,open(food),carry(bowl)
P01_R07,Vermicelli Rice with Meat,P01,P01-20240204-120411,0,145,91,229.5,take(cup),put(pan)
P01_R07,Vermicelli Rice with Meat,P01,P01-20240204-142301,0,669,243,1850.9,press(button),lift(bin)
P01_R07,Vermicelli Rice with Meat,P01,P01-20240204-145458,0,480,191,1080.0,put(bin),wrap(pot)
P01_R07,Vermicelli Rice with Meat,P01,P01-20240204-152537,0,158,89,437.2,uncover(pot),check(cupboard)
P01_R08,Marinated Chicken with Soy Sauce,P01,P01-20240203-184214,0,606,224,1325.2,take(lid),close(fridge)
P01_R08,Marinated Chicken with Soy Sauce,P01,P01-20240204-142301,0,669,243,1850.9,press(button),lift(bin)
P01_R08,Marinated Chicken with Soy Sauce,P01,P01-20240204-152537,0,158,89,437.2,uncover(pot),check(cupboard)
P01_R09,Date Balls,P01,P01-20240204-121042,0,662,205,1508.7,open(fridge),wash(hand)
P01_R09,Date Balls,P01,P01-20240204-124504,0,19,17,82.9,take(spatula),close(fridge)
P01_R09,Date Balls,P01,P01-20240204-130448,0,138,57,499.0,mix(bowl),close(fridge)
P02_R01,"Mushroom, Tomato, Sweetcorn and Onion Saute",P02,P02-20240209-184316,0,1170,299,1780.7,move(paper),pull(clothes)
P02_R02,Sauteed Potatoes,P02,P02-20240209-184316,0,1170,299,1780.7,move(paper),pull(clothes)
P02_R03,Squash,P02,P02-20240209-194141,0,476,177,920.3,take(package),put(squash)
P02_R03,Squash,P02,P02-20240209-231412,1,17,15,27.1,put(glass),put(squash)
P02_R03,Squash,P02,P02-20240210-195833,2,149,84,222.1,turn-on(button),move(glass)
P02_R03,Squash,P02,P02-20240210-220650,3,29,23,39.8,put(glass),dry(hand)
P02_R04,Bacon and Egg Sandwich,P02,P02-20240210-113925,0,480,191,806.7,take(plate),put(spatula)
P02_R05,Cereal,P02,P02-20240211-104948,0,260,113,316.4,put(bag),put(turmeric)
P02_R06,Raspberry and Lemon Curd Tarts,P02,P02-20240211-111822,0,1071,380,2261.8,put(phone),move(phone)
P02_R06,Raspberry and Lemon Curd Tarts,P02,P02-20240211-115653,0,287,144,645.6,lock(phone),put(phone)
P02_R06,Raspberry and Lemon Curd Tarts,P02,P02-20240211-120927,0,1245,294,3110.4,put(phone),close(cupboard)
P02_R07,Cheese Straws,P02,P02-20240211-115653,0,287,144,645.6,lock(phone),put(phone)
P02_R07,Cheese Straws,P02,P02-20240211-120927,0,1245,294,3110.4,put(phone),close(cupboard)
P02_R07,Cheese Straws,P02,P02-20240211-141313,0,715,263,1503.5,take(window),move(book)
P02_R08,Cheese Baguette,P02,P02-20240211-120927,0,1245,294,3110.4,put(phone),close(cupboard)
P02_R10,Mushroom Doner Kebab,P02,P02-20240211-175138,0,1070,298,1931.3,turn-on(button),turn-down(hob)
P02_R10,Mushroom Doner Kebab,P02,P02-20240211-182630,0,579,241,1411.8,lock(phone),put(knife)
P02_R11,Boiled Sweetcorn,P02,P02-20240211-182630,0,579,241,1411.8,lock(phone),put(knife)
P03_R01,Red Lentils Squash Curry,P03,P03-20240217-131219,0,1238,305,3275.2,take(fork),put(spoon)
P03_R02,Beef Stroganoff,P03,P03-20240218-190556,0,1215,328,3226.9,take(paper),put(plate)
P03_R03,Drip Coffee,P03,P03-20240216-084005,0,455,189,1051.9,take(pan),put(plate)
P03_R03,Drip Coffee,P03,P03-20240217-091657,1,391,154,937.3,pull(cupboard),put(spoon)
P03_R03,Drip Coffee,P03,P03-20240218-094452,2,480,194,1019.8,lift(hoover),put(plate)
P03_R03,Drip Coffee,P03,P03-20240218-144430,3,416,193,871.8,take(plate),put(jug)
P03_R04,Spanish Tortilla,P03,P03-20240216-185832,0,1645,410,4477.8,open(fridge),put(spoon)
P03_R05,Pizza Dough,P03,P03-20240216-185832,0,1645,410,4477.8,open(fridge),put(spoon)
P03_R05,Pizza Dough,P03,P03-20240216-205923,0,624,235,1454.7,take(package),press(chair)
P03_R06,Roasted Kale,P03,P03-20240216-185832,0,1645,410,4477.8,open(fridge),put(spoon)
P03_R07,Pizza with Aubergine and Egg,P03,P03-20240217-192543,0,1169,316,3374.6,take(chair),put(plate)
P03_R08,Tomato Sauce,P03,P03-20240217-192543,0,1169,316,3374.6,take(chair),put(plate)
P03_R09,Pizza with Plant-Based Mince and Mushrooms,P03,P03-20240217-192543,0,1169,316,3374.6,take(chair),put(plate)
P03_R10,Dumplings with Soy Sauce and Sesame Oil,P03,P03-20240218-140054,0,409,193,1123.1,take(container),put(bowl)
P04_R01,Grilled Chicken Wrap,P04,P04-20240413-142619,0,600,211,1427.4,take(cup),put(towel)
P04_R01,Grilled Chicken Wrap,P04,P04-20240413-145245,0,596,134,1223.7,open(shelf),put(cloth)
