participant,action,verb,noun
P01,add(flour),add,flour
P01,add(food),add,food
P01,add(meat),add,meat
P01,add(oil),add,oil
P01,adjust(hand),adjust,hand
P01,adjust(heat),adjust,heat
P01,adjust(hob),adjust,hob
P01,adjust(holder),adjust,holder
P01,adjust(lid),adjust,lid
P01,adjust(oven),adjust,oven
P01,adjust(pan),adjust,pan
P01,apply(biscuit),apply,biscuit
P01,apply(garlic),apply,garlic
P01,apply(liquid:washing),apply,liquid:washing
P01,apply(meat),apply,meat
P01,apply(oil),apply,oil
P01,apply(plate),apply,plate
P01,apply(rice),apply,rice
P01,apply(rosemary),apply,rosemary
P01,apply(water),apply,water
P01,attach(blender),attach,blender
P01,attach(board:chopping),attach,board:chopping
P01,attach(bowl),attach,bowl
P01,attach(food),attach,food
P01,attach(juicer),attach,juicer
P01,attach(machine:washing),attach,machine:washing
P01,attach(milk),attach,milk
P01,attach(package),attach,package
P01,attach(slicer),attach,slicer
P01,attach(spoon),attach,spoon
P01,attach(tap),attach,tap
P01,attach(top),attach,top
P01,break(alarm),break,alarm
P01,break(broccoli),break,broccoli
P01,break(carrot),break,carrot
P01,break(chicken),break,chicken
P01,break(clothes),break,clothes
P01,break(egg),break,egg
P01,break(garlic),break,garlic
P01,break(mixture),break,mixture
P01,break(onion),break,onion
P01,break(rest),break,rest
P01,break(shell:egg),break,shell:egg
P01,break(spoon),break,spoon
P01,break(top),break,top
P01,brush(colander),brush,colander
P01,brush(finger:lady),brush,finger:lady
P01,brush(food),brush,food
P01,brush(garlic),brush,garlic
P01,brush(hand),brush,hand
P01,brush(water),brush,water
P01,carry(bag),carry,bag
P01,carry(bin),carry,bin
P01,carry(board:chopping),carry,board:chopping
P01,carry(bowl),carry,bowl
P01,carry(box),carry,box
P01,carry(glass),carry,glass
P01,carry(plate),carry,plate
P01,carry(pot),carry,pot
P01,check(bag),check,bag
P01,check(biscuit),check,biscuit
P01,check(bowl),check,bowl
P01,check(box),check,box
P01,check(butter),check,butter
P01,check(chicken),check,chicken
P01,check(chocolate),check,chocolate
P01,check(cupboard),check,cupboard
P01,check(face),check,face
P01,check(food),check,food
P01,check(glove),check,glove
P01,check(heat),check,heat
P01,check(heater),check,heater
P01,check(kettle),check,kettle
P01,check(kitchen),check,kitchen
P01,check(label),check,label
P01,check(lid),check,lid
P01,check(machine:washing),check,machine:washing
P01,check(oven),check,oven
P01,check(plate),check,plate
P01,check(rack:drying),check,rack:drying
P01,check(rest),check,rest
P01,check(rice),check,rice
P01,check(scale),check,scale
P01,check(wall),check,wall
P01,check(water),check,water
P01,close(bag),close,bag
P01,close(bin),close,bin
P01,close(bottle),close,bottle
P01,close(box),close,box
P01,close(clothes),close,clothes
P01,close(container),close,container
P01,close(cover),close,cover
P01,close(cupboard),close,cupboard
P01,close(dishwasher),close,dishwasher
P01,close(drawer),close,drawer
P01,close(food),close,food
P01,close(fridge),close,fridge
P01,close(garlic),close,garlic
P01,close(hand),close,hand
P01,close(heat),close,heat
P01,close(jar),close,jar
P01,close(kettle),close,kettle
P01,close(lid),close,lid
P01,close(machine:washing),close,machine:washing
P01,close(package),close,package
P01,close(tap),close,tap
P01,close(wall),close,wall
P01,close(water),close,water
P01,coat(blender),coat,blender
P01,coat(cd),coat,cd
P01,coat(finger:lady),coat,finger:lady
P01,coat(hand),coat,hand
P01,coat(ladle),coat,ladle
P01,coat(spoon),coat,spoon
P01,cook(spatula),cook,spatula
P01,cook(spoon),cook,spoon
P01,crush(pepper),crush,pepper
P01,cut(bag),cut,bag
P01,cut(butter),cut,butter
P01,cut(carrot),cut,carrot
P01,cut(chicken),cut,chicken
P01,cut(colander),cut,colander
P01,cut(coriander),cut,coriander
P01,cut(dough),cut,dough
P01,cut(garlic),cut,garlic
P01,cut(lemon),cut,lemon
P01,cut(meat),cut,meat
P01,cut(onion),cut,onion
P01,cut(orange),cut,orange
P01,cut(pizza),cut,pizza
P01,cut(plate),cut,plate
P01,cut(rest),cut,rest
P01,cut(roll),cut,roll
P01,cut(slicer),cut,slicer
P01,cut(stock),cut,stock
P01,cut(top),cut,top
P01,divide(blender),divide,blender
P01,divide(chicken),divide,chicken
P01,divide(knife),divide,knife
P01,divide(lemon),divide,lemon
P01,divide(meat),divide,meat
P01,divide(orange),divide,orange
P01,divide(pan),divide,pan
P01,divide(pie),divide,pie
P01,divide(plate),divide,plate
P01,divide(rest),divide,rest
P01,divide(slicer),divide,slicer
P01,divide(top),divide,top
